mode,h1_start,h1_end,h2_start,h2_end,h3_start,h3_end,l1_start,l1_end,l2_start,l2_end,l3_start,l3_end,pdb_name,processed_path,raw_path,num_chains,quaternary_category,seq_len,modeled_seq_len,coil_percent,helix_percent,strand_percent,radius_gyration,loop_info_dir
ab,23.0,29.0,49.0,54.0,96.0,102.0,137.0,147.0,163.0,169.0,202.0,210.0,6t9d_H_L_C,/home/psh/data/train/meta/6t9d_H_L_C.pkl,/home/psh/data/train/pdb/6t9d_H_L_C.pdb,3,heteromer,312,312,0.3846153846153846,0.0833333333333333,0.532051282051282,2.121391468818239,
ab,25.0,31.0,51.0,56.0,98.0,108.0,143.0,154.0,170.0,176.0,209.0,217.0,4zff_A_B_C,/home/psh/data/train/meta/4zff_A_B_C.pkl,/home/psh/data/train/pdb/4zff_A_B_C.pdb,3,heteromer,324,324,0.3703703703703703,0.0648148148148148,0.5648148148148148,2.5585985051138125,
ab,24.0,30.0,50.0,55.0,97.0,109.0,144.0,159.0,175.0,181.0,214.0,222.0,6ddv_B_A_C,/home/psh/data/train/meta/6ddv_B_A_C.pkl,/home/psh/data/train/pdb/6ddv_B_A_C.pdb,3,heteromer,327,327,0.4036697247706422,0.055045871559633,0.5412844036697247,2.0925415518884867,
ab,25.0,31.0,51.0,56.0,98.0,104.0,139.0,149.0,165.0,171.0,204.0,212.0,6t9e_A_B_C,/home/psh/data/train/meta/6t9e_A_B_C.pkl,/home/psh/data/train/pdb/6t9e_A_B_C.pdb,3,heteromer,318,318,0.4276729559748428,0.0440251572327044,0.5283018867924528,2.4334753621049594,
ab,25.0,31.0,51.0,56.0,98.0,110.0,145.0,155.0,171.0,177.0,210.0,218.0,6uta_A_B_C,/home/psh/data/train/meta/6uta_A_B_C.pkl,/home/psh/data/train/pdb/6uta_A_B_C.pdb,3,heteromer,328,328,0.5152439024390244,0.0182926829268292,0.4664634146341463,2.1103824577797106,
ab,25.0,31.0,51.0,56.0,98.0,106.0,141.0,157.0,173.0,179.0,212.0,220.0,1xct_D_C_QM,/home/psh/data/train/meta/1xct_D_C_QM.pkl,/home/psh/data/train/pdb/1xct_D_C_QM.pdb,4,heteromer,324,324,0.5648148148148148,0.0586419753086419,0.3765432098765432,2.140294876626561,
ab,25.0,31.0,51.0,56.0,98.0,109.0,144.0,158.0,174.0,180.0,213.0,221.0,5fb8_B_A_C,/home/psh/data/train/meta/5fb8_B_A_C.pkl,/home/psh/data/train/pdb/5fb8_B_A_C.pdb,3,heteromer,316,316,0.3829113924050633,0.0886075949367088,0.5284810126582279,2.016928088505172,
ab,25.0,31.0,51.0,56.0,98.0,105.0,140.0,150.0,166.0,172.0,205.0,213.0,4al8_H_L_C,/home/psh/data/train/meta/4al8_H_L_C.pkl,/home/psh/data/train/pdb/4al8_H_L_C.pdb,3,heteromer,322,322,0.4906832298136646,0.046583850931677,0.4627329192546583,2.079967561024605,
ab,25.0,31.0,51.0,56.0,98.0,108.0,142.0,152.0,168.0,174.0,207.0,215.0,6ek2_H_h_A,/home/psh/data/train/meta/6ek2_H_h_A.pkl,/home/psh/data/train/pdb/6ek2_H_h_A.pdb,3,heteromer,316,316,0.4462025316455696,0.1993670886075949,0.3544303797468354,2.0334442454598887,
ab,24.0,30.0,50.0,55.0,97.0,104.0,139.0,153.0,169.0,175.0,208.0,216.0,5tlk_D_C_X,/home/psh/data/train/meta/5tlk_D_C_X.pkl,/home/psh/data/train/pdb/5tlk_D_C_X.pdb,3,heteromer,302,302,0.5066225165562914,0.0298013245033112,0.4635761589403973,1.9773090075739548,
ab,25.0,31.0,51.0,56.0,98.0,104.0,139.0,155.0,171.0,177.0,210.0,218.0,6pe9_H_L_V,/home/psh/data/train/meta/6pe9_H_L_V.pkl,/home/psh/data/train/pdb/6pe9_H_L_V.pdb,3,heteromer,307,307,0.5146579804560261,0.0390879478827361,0.4462540716612377,1.9822600383104905,
ab,25.0,31.0,51.0,56.0,98.0,106.0,141.0,157.0,173.0,179.0,212.0,220.0,6o9h_H_L_D,/home/psh/data/train/meta/6o9h_H_L_D.pkl,/home/psh/data/train/pdb/6o9h_H_L_D.pdb,3,heteromer,321,321,0.4454828660436137,0.1059190031152648,0.4485981308411215,2.1135802396659416,
ab,25.0,31.0,51.0,55.0,97.0,105.0,139.0,152.0,168.0,174.0,207.0,215.0,3ks0_K_J_A,/home/psh/data/train/meta/3ks0_K_J_A.pkl,/home/psh/data/train/pdb/3ks0_K_J_A.pdb,3,heteromer,318,318,0.4371069182389937,0.1257861635220125,0.4371069182389937,2.055654351347716,
ab,25.0,31.0,51.0,56.0,98.0,104.0,137.0,147.0,163.0,169.0,202.0,212.0,6a3w_D_E_F,/home/psh/data/train/meta/6a3w_D_E_F.pkl,/home/psh/data/train/pdb/6a3w_D_E_F.pdb,3,heteromer,316,316,0.490506329113924,0.060126582278481,0.4493670886075949,2.0074534750093425,
ab,25.0,31.0,51.0,56.0,98.0,116.0,151.0,161.0,177.0,183.0,216.0,224.0,4lf3_B_A_C,/home/psh/data/train/meta/4lf3_B_A_C.pkl,/home/psh/data/train/pdb/4lf3_B_A_C.pdb,3,heteromer,330,330,0.4484848484848485,0.106060606060606,0.4454545454545454,2.242037148425097,
ab,24.0,30.0,50.0,55.0,97.0,108.0,141.0,154.0,170.0,176.0,209.0,220.0,6mb3_H_L_E,/home/psh/data/train/meta/6mb3_H_L_E.pkl,/home/psh/data/train/pdb/6mb3_H_L_E.pdb,3,heteromer,321,321,0.6043613707165109,0.0373831775700934,0.3582554517133956,2.9593712645763457,
ab,25.0,31.0,51.0,56.0,98.0,104.0,139.0,149.0,165.0,171.0,204.0,212.0,3r08_H_L_E,/home/psh/data/train/meta/3r08_H_L_E.pkl,/home/psh/data/train/pdb/3r08_H_L_E.pdb,3,heteromer,305,305,0.5737704918032787,0.0196721311475409,0.4065573770491803,2.067826528030841,
ab,25.0,32.0,52.0,58.0,100.0,110.0,145.0,156.0,172.0,178.0,211.0,222.0,6k7o_F_G_R,/home/psh/data/train/meta/6k7o_F_G_R.pkl,/home/psh/data/train/pdb/6k7o_F_G_R.pdb,3,heteromer,327,327,0.4954128440366973,0.018348623853211,0.4862385321100917,2.216895003430952,
ab,24.0,30.0,50.0,55.0,97.0,103.0,138.0,153.0,169.0,175.0,208.0,216.0,6ejm_I_i_A,/home/psh/data/train/meta/6ejm_I_i_A.pkl,/home/psh/data/train/pdb/6ejm_I_i_A.pdb,3,heteromer,318,318,0.4748427672955975,0.1729559748427672,0.3522012578616352,2.092139660364821,
ab,25.0,31.0,51.0,56.0,98.0,113.0,146.0,156.0,172.0,178.0,211.0,219.0,5w2b_H_L_A,/home/psh/data/train/meta/5w2b_H_L_A.pkl,/home/psh/data/train/pdb/5w2b_H_L_A.pdb,3,heteromer,327,327,0.4067278287461773,0.1896024464831804,0.4036697247706422,2.133469836142893,
ab,25.0,31.0,51.0,56.0,98.0,106.0,141.0,155.0,171.0,177.0,210.0,218.0,4ffz_H_L_A,/home/psh/data/train/meta/4ffz_H_L_A.pkl,/home/psh/data/train/pdb/4ffz_H_L_A.pdb,3,heteromer,326,326,0.4570552147239264,0.0276073619631901,0.5153374233128835,2.034275389138209,
ab,24.0,30.0,50.0,55.0,97.0,107.0,142.0,152.0,168.0,174.0,207.0,214.0,5vig_A_B_G,/home/psh/data/train/meta/5vig_A_B_G.pkl,/home/psh/data/train/pdb/5vig_A_B_G.pdb,3,heteromer,325,325,0.4615384615384615,0.0461538461538461,0.4923076923076923,2.0851242504700327,
ab,24.0,30.0,50.0,55.0,97.0,114.0,148.0,159.0,175.0,181.0,214.0,222.0,3lh2_J_N_U,/home/psh/data/train/meta/3lh2_J_N_U.pkl,/home/psh/data/train/pdb/3lh2_J_N_U.pdb,3,heteromer,301,301,0.4784053156146179,0.1229235880398671,0.3986710963455149,2.10418101111816,
ab,24.0,32.0,52.0,56.0,98.0,105.0,140.0,150.0,166.0,172.0,205.0,213.0,2vxq_H_L_A,/home/psh/data/train/meta/2vxq_H_L_A.pkl,/home/psh/data/train/pdb/2vxq_H_L_A.pdb,3,heteromer,316,316,0.4272151898734177,0.0474683544303797,0.5253164556962026,2.000468907332185,
ab,25.0,31.0,51.0,56.0,98.0,106.0,141.0,151.0,167.0,173.0,206.0,214.0,2dwe_A_B_C,/home/psh/data/train/meta/2dwe_A_B_C.pkl,/home/psh/data/train/pdb/2dwe_A_B_C.pdb,3,heteromer,328,328,0.4115853658536585,0.2560975609756097,0.3323170731707317,2.450999152842453,
ab,25.0,31.0,51.0,56.0,98.0,110.0,145.0,155.0,171.0,177.0,210.0,218.0,5vic_H_L_E,/home/psh/data/train/meta/5vic_H_L_E.pkl,/home/psh/data/train/pdb/5vic_H_L_E.pdb,3,heteromer,312,312,0.4551282051282051,0.048076923076923,0.4967948717948718,2.0546331294055253,
ab,25.0,31.0,51.0,56.0,98.0,103.0,135.0,145.0,161.0,167.0,200.0,210.0,4qhu_B_A_D,/home/psh/data/train/meta/4qhu_B_A_D.pkl,/home/psh/data/train/pdb/4qhu_B_A_D.pdb,3,heteromer,321,321,0.4392523364485981,0.0591900311526479,0.5015576323987538,2.1864517265496075,
ab,25.0,33.0,53.0,57.0,99.0,108.0,143.0,152.0,168.0,174.0,207.0,215.0,6ywd_A_B_C,/home/psh/data/train/meta/6ywd_A_B_C.pkl,/home/psh/data/train/pdb/6ywd_A_B_C.pdb,3,heteromer,301,301,0.4019933554817276,0.2192691029900332,0.3787375415282392,2.0502698734165192,
ab,25.0,31.0,51.0,56.0,98.0,114.0,149.0,159.0,175.0,181.0,214.0,222.0,3x3f_H_L_A,/home/psh/data/train/meta/3x3f_H_L_A.pkl,/home/psh/data/train/pdb/3x3f_H_L_A.pdb,3,heteromer,304,304,0.4868421052631579,0.0592105263157894,0.4539473684210526,2.055048265583701,
ab,25.0,31.0,51.0,56.0,98.0,111.0,146.0,156.0,172.0,178.0,211.0,219.0,1cz8_H_L_W,/home/psh/data/train/meta/1cz8_H_L_W.pkl,/home/psh/data/train/pdb/1cz8_H_L_W.pdb,3,heteromer,324,324,0.3858024691358024,0.0833333333333333,0.5308641975308642,2.485385400817037,
ab,25.0,31.0,51.0,56.0,98.0,107.0,142.0,152.0,168.0,174.0,207.0,215.0,3wih_I_M_B,/home/psh/data/train/meta/3wih_I_M_B.pkl,/home/psh/data/train/pdb/3wih_I_M_B.pdb,3,heteromer,314,314,0.4585987261146497,0.0573248407643312,0.4840764331210191,2.022380112480499,
ab,25.0,31.0,51.0,56.0,98.0,105.0,140.0,150.0,166.0,172.0,205.0,213.0,6okn_A_B_R,/home/psh/data/train/meta/6okn_A_B_R.pkl,/home/psh/data/train/pdb/6okn_A_B_R.pdb,3,heteromer,318,318,0.5534591194968553,0.0283018867924528,0.4182389937106918,2.0146389166834124,
ab,25.0,31.0,51.0,56.0,98.0,109.0,144.0,154.0,170.0,176.0,209.0,217.0,4bz2_H_L_A,/home/psh/data/train/meta/4bz2_H_L_A.pkl,/home/psh/data/train/pdb/4bz2_H_L_A.pdb,3,heteromer,329,329,0.4620060790273556,0.0364741641337386,0.5015197568389058,2.0901546026199824,
ab,25.0,31.0,51.0,56.0,98.0,109.0,144.0,154.0,170.0,176.0,209.0,217.0,2fjh_B_A_W,/home/psh/data/train/meta/2fjh_B_A_W.pkl,/home/psh/data/train/pdb/2fjh_B_A_W.pdb,3,heteromer,325,325,0.4246153846153846,0.0553846153846153,0.52,2.3329906632022865,
ab,25.0,31.0,51.0,58.0,100.0,109.0,144.0,154.0,170.0,176.0,209.0,217.0,6flc_B_A_I,/home/psh/data/train/meta/6flc_B_A_I.pkl,/home/psh/data/train/pdb/6flc_B_A_I.pdb,3,heteromer,325,325,0.4769230769230769,0.0369230769230769,0.4861538461538461,2.189622962800069,
ab,25.0,31.0,51.0,56.0,98.0,101.0,136.0,151.0,167.0,173.0,206.0,214.0,4lu5_I_M_A,/home/psh/data/train/meta/4lu5_I_M_A.pkl,/home/psh/data/train/pdb/4lu5_I_M_A.pdb,3,heteromer,312,312,0.4487179487179487,0.1057692307692307,0.4455128205128205,2.149339290395333,
ab,25.0,31.0,51.0,55.0,97.0,109.0,144.0,154.0,170.0,176.0,209.0,217.0,4edx_B_A_W,/home/psh/data/train/meta/4edx_B_A_W.pkl,/home/psh/data/train/pdb/4edx_B_A_W.pdb,3,heteromer,330,330,0.4303030303030303,0.0272727272727272,0.5424242424242425,2.229871829463815,
ab,25.0,31.0,51.0,56.0,98.0,101.0,136.0,146.0,162.0,168.0,201.0,209.0,5wt9_H_L_G,/home/psh/data/train/meta/5wt9_H_L_G.pkl,/home/psh/data/train/pdb/5wt9_H_L_G.pdb,3,heteromer,329,329,0.4772036474164133,0.0364741641337386,0.486322188449848,2.311314539677963,
ab,25.0,31.0,51.0,56.0,98.0,109.0,142.0,155.0,171.0,177.0,210.0,220.0,5otj_H_L_C,/home/psh/data/train/meta/5otj_H_L_C.pkl,/home/psh/data/train/pdb/5otj_H_L_C.pdb,3,heteromer,300,300,0.4233333333333333,0.17,0.4066666666666667,1.9340351205858315,
ab,25.0,31.0,51.0,56.0,98.0,104.0,138.0,154.0,170.0,176.0,209.0,217.0,5kve_L_l_E,/home/psh/data/train/meta/5kve_L_l_E.pkl,/home/psh/data/train/pdb/5kve_L_l_E.pdb,3,heteromer,329,329,0.4680851063829787,0.0455927051671732,0.486322188449848,2.118384061739237,
ab,25.0,31.0,51.0,56.0,98.0,110.0,145.0,155.0,171.0,177.0,210.0,218.0,6fax_H_L_R,/home/psh/data/train/meta/6fax_H_L_R.pkl,/home/psh/data/train/pdb/6fax_H_L_R.pdb,3,heteromer,329,329,0.5015197568389058,0.0364741641337386,0.4620060790273556,2.4283869626876218,
ab,25.0,31.0,51.0,56.0,98.0,114.0,146.0,158.0,174.0,180.0,213.0,224.0,3p30_H_L_A,/home/psh/data/train/meta/3p30_H_L_A.pkl,/home/psh/data/train/pdb/3p30_H_L_A.pdb,3,heteromer,319,319,0.4012539184952978,0.2601880877742947,0.3385579937304075,2.1117870773265435,
ab,25.0,31.0,51.0,56.0,98.0,107.0,142.0,152.0,168.0,174.0,207.0,215.0,1ztx_H_L_E,/home/psh/data/train/meta/1ztx_H_L_E.pkl,/home/psh/data/train/pdb/1ztx_H_L_E.pdb,3,heteromer,327,327,0.4403669724770642,0.036697247706422,0.5229357798165137,2.1344429558848432,
ab,25.0,31.0,51.0,56.0,98.0,108.0,143.0,157.0,173.0,179.0,212.0,220.0,5dfv_E_F_B,/home/psh/data/train/meta/5dfv_E_F_B.pkl,/home/psh/data/train/pdb/5dfv_E_F_B.pdb,3,heteromer,317,317,0.3974763406940063,0.2365930599369085,0.3627760252365931,2.066713859564563,
ab,25.0,31.0,51.0,56.0,98.0,106.0,141.0,151.0,167.0,173.0,206.0,216.0,2qr0_R_Q_P,/home/psh/data/train/meta/2qr0_R_Q_P.pkl,/home/psh/data/train/pdb/2qr0_R_Q_P.pdb,3,heteromer,324,324,0.404320987654321,0.0617283950617283,0.5339506172839507,2.547437429353589,
ab,25.0,31.0,51.0,56.0,98.0,105.0,140.0,150.0,166.0,172.0,205.0,213.0,4l5f_H_L_E,/home/psh/data/train/meta/4l5f_H_L_E.pkl,/home/psh/data/train/pdb/4l5f_H_L_E.pdb,3,heteromer,322,322,0.4906832298136646,0.0372670807453416,0.4720496894409938,2.164089095684391,
ab,22.0,28.0,48.0,52.0,92.0,102.0,136.0,146.0,162.0,168.0,201.0,212.0,6ba5_D_C_N,/home/psh/data/train/meta/6ba5_D_C_N.pkl,/home/psh/data/train/pdb/6ba5_D_C_N.pdb,3,heteromer,304,304,0.5592105263157895,0.0394736842105263,0.4013157894736842,2.031669971736572,
ab,24.0,24.0,43.0,48.0,90.0,100.0,132.0,143.0,159.0,162.0,187.0,195.0,6woq_G_H_F,/home/psh/data/train/meta/6woq_G_H_F.pkl,/home/psh/data/train/pdb/6woq_G_H_F.pdb,3,heteromer,329,329,0.541033434650456,0.0577507598784194,0.4012158054711246,2.314664764479505,
ab,25.0,30.0,50.0,55.0,97.0,103.0,138.0,152.0,168.0,174.0,207.0,215.0,5aaw_K_k_L,/home/psh/data/train/meta/5aaw_K_k_L.pkl,/home/psh/data/train/pdb/5aaw_K_k_L.pdb,3,heteromer,322,322,0.4813664596273292,0.0279503105590062,0.4906832298136646,2.007382448415884,
ab,25.0,31.0,51.0,56.0,98.0,106.0,141.0,155.0,171.0,177.0,210.0,218.0,4ffy_H_L_A,/home/psh/data/train/meta/4ffy_H_L_A.pkl,/home/psh/data/train/pdb/4ffy_H_L_A.pdb,3,heteromer,326,326,0.4631901840490797,0.0276073619631901,0.50920245398773,2.0266750573210794,
ab,23.0,29.0,49.0,54.0,96.0,105.0,139.0,151.0,167.0,173.0,206.0,216.0,4hj0_C_D_B,/home/psh/data/train/meta/4hj0_C_D_B.pkl,/home/psh/data/train/pdb/4hj0_C_D_B.pdb,3,heteromer,318,318,0.5943396226415094,0.0943396226415094,0.3113207547169811,1.98943765379324,
ab,23.0,29.0,49.0,54.0,92.0,99.0,134.0,145.0,161.0,167.0,200.0,210.0,1qfw_H_L_A,/home/psh/data/train/meta/1qfw_H_L_A.pkl,/home/psh/data/train/pdb/1qfw_H_L_A.pdb,3,heteromer,308,308,0.564935064935065,0.0227272727272727,0.4123376623376623,2.3763846860706352,
ab,25.0,31.0,51.0,56.0,98.0,112.0,146.0,158.0,174.0,180.0,213.0,223.0,4v1d_D_E_C,/home/psh/data/train/meta/4v1d_D_E_C.pkl,/home/psh/data/train/pdb/4v1d_D_E_C.pdb,3,heteromer,300,300,0.48,0.0666666666666666,0.45,1.9778197497878487,
ab,24.0,30.0,50.0,54.0,96.0,102.0,136.0,146.0,162.0,168.0,201.0,212.0,6osh_H_L_K,/home/psh/data/train/meta/6osh_H_L_K.pkl,/home/psh/data/train/pdb/6osh_H_L_K.pdb,3,heteromer,304,304,0.5526315789473685,0.0394736842105263,0.4078947368421052,2.040376208962789,
ab,25.0,31.0,51.0,55.0,97.0,114.0,149.0,159.0,175.0,181.0,214.0,223.0,4ywg_I_M_Q,/home/psh/data/train/meta/4ywg_I_M_Q.pkl,/home/psh/data/train/pdb/4ywg_I_M_Q.pdb,3,heteromer,328,328,0.5091463414634146,0.0426829268292682,0.4481707317073171,2.1517895242280933,
ab,25.0,33.0,53.0,57.0,99.0,112.0,147.0,157.0,173.0,179.0,212.0,220.0,6tou_A_a_G,/home/psh/data/train/meta/6tou_A_a_G.pkl,/home/psh/data/train/pdb/6tou_A_a_G.pdb,3,heteromer,302,302,0.5,0.0198675496688741,0.4801324503311258,2.0063235139627182,
ab,24.0,30.0,50.0,55.0,97.0,110.0,142.0,152.0,168.0,174.0,207.0,216.0,6fy1_Y_Z_X,/home/psh/data/train/meta/6fy1_Y_Z_X.pkl,/home/psh/data/train/pdb/6fy1_Y_Z_X.pdb,3,heteromer,325,325,0.4184615384615384,0.1292307692307692,0.4523076923076923,2.374786156162082,
ab,24.0,30.0,50.0,55.0,97.0,107.0,142.0,156.0,172.0,178.0,211.0,219.0,5tlk_B_A_X,/home/psh/data/train/meta/5tlk_B_A_X.pkl,/home/psh/data/train/pdb/5tlk_B_A_X.pdb,3,heteromer,305,305,0.4950819672131147,0.0393442622950819,0.4655737704918032,2.2553676114234604,
ab,25.0,33.0,53.0,62.0,104.0,120.0,154.0,166.0,182.0,188.0,221.0,231.0,3thm_H_L_F,/home/psh/data/train/meta/3thm_H_L_F.pkl,/home/psh/data/train/pdb/3thm_H_L_F.pdb,3,heteromer,319,319,0.4890282131661442,0.0376175548589341,0.4733542319749216,2.0877662502595635,
ab,24.0,30.0,50.0,55.0,97.0,103.0,138.0,148.0,164.0,170.0,203.0,211.0,5dfw_H_h_A,/home/psh/data/train/meta/5dfw_H_h_A.pkl,/home/psh/data/train/pdb/5dfw_H_h_A.pdb,3,heteromer,312,312,0.4358974358974359,0.2275641025641025,0.3365384615384615,2.111928922809512,
ab,24.0,30.0,50.0,55.0,97.0,103.0,138.0,148.0,164.0,170.0,203.0,211.0,5kvg_H_L_E,/home/psh/data/train/meta/5kvg_H_L_E.pkl,/home/psh/data/train/pdb/5kvg_H_L_E.pdb,3,heteromer,329,329,0.4832826747720364,0.0364741641337386,0.4802431610942249,2.0739866982640613,
ab,25.0,31.0,51.0,56.0,98.0,106.0,141.0,156.0,172.0,178.0,211.0,219.0,2jel_H_L_P,/home/psh/data/train/meta/2jel_H_L_P.pkl,/home/psh/data/train/pdb/2jel_H_L_P.pdb,3,heteromer,315,315,0.4031746031746032,0.1396825396825396,0.4571428571428571,2.063362074988599,
ab,25.0,31.0,51.0,56.0,98.0,108.0,143.0,153.0,169.0,175.0,208.0,216.0,1rjl_B_A_C,/home/psh/data/train/meta/1rjl_B_A_C.pkl,/home/psh/data/train/pdb/1rjl_B_A_C.pdb,3,heteromer,322,322,0.4409937888198758,0.0403726708074534,0.5186335403726708,2.210302777753976,
ab,25.0,31.0,51.0,56.0,98.0,106.0,138.0,150.0,166.0,172.0,205.0,217.0,6j6y_E_F_D,/home/psh/data/train/meta/6j6y_E_F_D.pkl,/home/psh/data/train/pdb/6j6y_E_F_D.pdb,3,heteromer,329,329,0.4133738601823708,0.0668693009118541,0.5197568389057751,2.045051806784309,
ab,24.0,30.0,50.0,55.0,97.0,103.0,137.0,151.0,167.0,173.0,206.0,214.0,3uzq_A_a_B,/home/psh/data/train/meta/3uzq_A_a_B.pkl,/home/psh/data/train/pdb/3uzq_A_a_B.pdb,3,heteromer,320,320,0.475,0.0375,0.4875,2.007474296878517,
ab,25.0,31.0,51.0,56.0,98.0,108.0,143.0,153.0,169.0,175.0,208.0,216.0,1tzi_B_A_V,/home/psh/data/train/meta/1tzi_B_A_V.pkl,/home/psh/data/train/pdb/1tzi_B_A_V.pdb,3,heteromer,324,324,0.4135802469135802,0.0555555555555555,0.5308641975308642,2.6886950426690595,
ab,25.0,31.0,51.0,56.0,98.0,106.0,141.0,151.0,167.0,173.0,206.0,214.0,5xxy_H_L_A,/home/psh/data/train/meta/5xxy_H_L_A.pkl,/home/psh/data/train/pdb/5xxy_H_L_A.pdb,3,heteromer,324,324,0.4567901234567901,0.0401234567901234,0.5030864197530864,2.114687193491006,
ab,25.0,31.0,51.0,56.0,98.0,108.0,143.0,153.0,169.0,175.0,208.0,216.0,6dkj_H_L_C,/home/psh/data/train/meta/6dkj_H_L_C.pkl,/home/psh/data/train/pdb/6dkj_H_L_C.pdb,3,heteromer,329,329,0.4437689969604863,0.1428571428571428,0.4133738601823708,2.08362743720402,
ab,24.0,30.0,50.0,55.0,97.0,104.0,139.0,154.0,170.0,176.0,209.0,218.0,4lqf_H_L_A,/home/psh/data/train/meta/4lqf_H_L_A.pkl,/home/psh/data/train/pdb/4lqf_H_L_A.pdb,3,heteromer,307,307,0.4462540716612377,0.0879478827361563,0.4657980456026058,2.106322644397515,
ab,25.0,33.0,53.0,57.0,99.0,108.0,143.0,152.0,168.0,174.0,207.0,215.0,4jlr_A_B_C,/home/psh/data/train/meta/4jlr_A_B_C.pkl,/home/psh/data/train/pdb/4jlr_A_B_C.pdb,3,heteromer,326,326,0.3619631901840491,0.2760736196319018,0.3619631901840491,2.383424903457425,
ab,25.0,31.0,51.0,56.0,98.0,111.0,146.0,156.0,172.0,178.0,211.0,219.0,1bj1_H_L_W,/home/psh/data/train/meta/1bj1_H_L_W.pkl,/home/psh/data/train/pdb/1bj1_H_L_W.pdb,3,heteromer,324,324,0.382716049382716,0.0833333333333333,0.5339506172839507,2.5157231197893,
